id,repository,subfolder,title,document_type,year,quarter,publication_date,source_url,download_url,local_path,file_type,source_domain,collected_date,notes,status
"ctx-0001","06_company_context","06_company_context/fact_sheets","Merck Company Fact Sheet","company_fact_sheet_snapshot","2026","","2026-06-12","https://www.merck.com/media/company-fact-sheet/","https://www.merck.com/media/company-fact-sheet/","06_company_context/fact_sheets/2026-06-12_merck_company-fact-sheet.html","html","www.merck.com","2026-06-12","Official fact sheet snapshot. Page includes 2025 revenue, R&D expense, employee count and company description.","snapshot_saved"
"ctx-0002","06_company_context","06_company_context/company_overview","Merck Who We Are Page Snapshot","company_overview_snapshot","2026","","2026-06-12","https://www.merck.com/company-overview/","https://www.merck.com/company-overview/","06_company_context/company_overview/2026-06-12_merck_who-we-are.html","html","www.merck.com","2026-06-12","Official company overview snapshot.","snapshot_saved"
"ctx-0003","06_company_context","06_company_context/company_overview","Merck What We Do Page Snapshot","company_business_overview_snapshot","2026","","2026-06-12","https://www.merck.com/what-we-do/","https://www.merck.com/what-we-do/","06_company_context/company_overview/2026-06-12_merck_what-we-do.html","html","www.merck.com","2026-06-12","Official snapshot of Merck business/research/partnership/manufacturing overview.","snapshot_saved"
"ctx-0004","06_company_context","06_company_context/company_overview","Merck Research Overview Page Snapshot","research_overview_snapshot","2026","","2026-06-12","https://www.merck.com/research/","https://www.merck.com/research/","06_company_context/company_overview/2026-06-12_merck_research-overview.html","html","www.merck.com","2026-06-12","Official research overview snapshot with areas of focus and R&D context.","snapshot_saved"
"ctx-0005","06_company_context","06_company_context/company_overview","Merck Business Development and Licensing Page Snapshot","business_development_snapshot","2026","","2026-06-12","https://www.merck.com/research/business-development-and-licensing/","https://www.merck.com/research/business-development-and-licensing/","06_company_context/company_overview/2026-06-12_merck_business-development-and-licensing.html","html","www.merck.com","2026-06-12","Official BD&L snapshot for external innovation and partnership context.","snapshot_saved"
"ctx-0006","06_company_context","06_company_context/leadership","Merck Leadership Overview Page Snapshot","leadership_overview_snapshot","2026","","2026-06-12","https://www.merck.com/company-overview/leadership/","https://www.merck.com/company-overview/leadership/","06_company_context/leadership/2026-06-12_merck_leadership-overview.html","html","www.merck.com","2026-06-12","Official leadership overview snapshot.","snapshot_saved"
"ctx-0007","06_company_context","06_company_context/leadership","Merck Executive Team Page Snapshot","executive_team_snapshot","2026","","2026-06-12","https://www.merck.com/company-overview/leadership/executive-team/","https://www.merck.com/company-overview/leadership/executive-team/","06_company_context/leadership/2026-06-12_merck_executive-team.html","html","www.merck.com","2026-06-12","Official executive team snapshot.","snapshot_saved"
"ctx-0008","06_company_context","06_company_context/culture_values","Merck Culture and Values Page Snapshot","culture_values_snapshot","2026","","2026-06-12","https://www.merck.com/company-overview/culture-and-values/","https://www.merck.com/company-overview/culture-and-values/","06_company_context/culture_values/2026-06-12_merck_culture-and-values.html","html","www.merck.com","2026-06-12","Official culture and values snapshot.","snapshot_saved"
"ctx-0009","06_company_context","06_company_context/products_overview","Merck Products List Page Snapshot","products_list_snapshot","2026","","2026-06-12","https://www.merck.com/products/","https://www.merck.com/products/","06_company_context/products_overview/2026-06-12_merck_products-list.html","html","www.merck.com","2026-06-12","Official U.S. product list page snapshot. Individual prescribing information PDFs were not collected in this round.","snapshot_saved"
