id,repository,subfolder,title,document_type,year,quarter,publication_date,source_url,download_url,local_path,file_type,source_domain,collected_date,notes,status,primary_category,official_pdf_url,api_id
"pr-0049","04_press_releases","04_press_releases/prescription_medicine","Raludotatug Deruxtecan Granted Breakthrough Therapy Designation by U.S. FDA for Patients with CDH6 Expressing Platinum-Resistant Ovarian, Primary Peritoneal, or Fallopian Tube Cancers Previously Treated with Bevacizumab","press_release_snapshot","2025","Q3","2025-09-15","https://www.merck.com/news/raludotatug-deruxtecan-granted-breakthrough-therapy-designation-by-u-s-fda-for-patients-with-cdh6-expressing-platinum-resistant-ovarian-primary-peritoneal-or-fallopian-tube-cancers-previously-treat/","https://www.merck.com/news/raludotatug-deruxtecan-granted-breakthrough-therapy-designation-by-u-s-fda-for-patients-with-cdh6-expressing-platinum-resistant-ovarian-primary-peritoneal-or-fallopian-tube-cancers-previously-treat/","04_press_releases/prescription_medicine/2025-09-15_raludotatug-deruxtecan-granted-breakthrough-therapy-designation-by-u-s-fda-for-patients-with-cdh6-expressing-p.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | API item ID: 3673689","snapshot_saved","Prescription Medicine News","","3673689"
"pr-0050","04_press_releases","04_press_releases/research_and_development","CAPVAXIVE® (Pneumococcal 21-valent Conjugate Vaccine) Demonstrates Positive Immune Responses in Children and Adolescents at Increased Risk of Pneumococcal Disease","press_release_snapshot","2025","Q3","2025-09-11","https://www.merck.com/news/capvaxive-pneumococcal-21-valent-conjugate-vaccine-demonstrates-positive-immune-responses-in-children-and-adolescents-at-increased-risk-of-pneumococcal-disease/","https://www.merck.com/news/capvaxive-pneumococcal-21-valent-conjugate-vaccine-demonstrates-positive-immune-responses-in-children-and-adolescents-at-increased-risk-of-pneumococcal-disease/","04_press_releases/research_and_development/2025-09-11_capvaxive-pneumococcal-21-valent-conjugate-vaccine-demonstrates-positive-immune-responses-in-children-and-adol.html","html","www.merck.com","2026-06-12","Categories: Research and Development News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/CAPVAXIVE-Pneumococcal-21-valent-Conjugate-Vaccine-Demonstrates-Positive-Immune-Responses-in-Children-and-Adolescents-at-Increased-Ri-HXWKD.pdf | API item ID: 3673535","snapshot_saved","Research and Development News","https://s2.q4cdn.com/584635680/files/doc_news/CAPVAXIVE-Pneumococcal-21-valent-Conjugate-Vaccine-Demonstrates-Positive-Immune-Responses-in-Children-and-Adolescents-at-Increased-Ri-HXWKD.pdf","3673535"
"pr-0051","04_press_releases","04_press_releases/prescription_medicine","Ifinatamab Deruxtecan Demonstrated Clinically Meaningful Response Rates in Patients with Extensive-Stage Small Cell Lung Cancer in IDeate-Lung01 Phase 2 Trial","press_release_snapshot","2025","Q3","2025-09-07","https://www.merck.com/news/ifinatamab-deruxtecan-demonstrated-clinically-meaningful-response-rates-in-patients-with-extensive-stage-small-cell-lung-cancer-in-ideate-lung01-phase-2-trial/","https://www.merck.com/news/ifinatamab-deruxtecan-demonstrated-clinically-meaningful-response-rates-in-patients-with-extensive-stage-small-cell-lung-cancer-in-ideate-lung01-phase-2-trial/","04_press_releases/prescription_medicine/2025-09-07_ifinatamab-deruxtecan-demonstrated-clinically-meaningful-response-rates-in-patients-with-extensive-stage-small.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | API item ID: 3673259","snapshot_saved","Prescription Medicine News","","3673259"
"pr-0053","04_press_releases","04_press_releases/corporate","Merck to Participate in the Morgan Stanley 23rd Annual Global Healthcare Conference","press_release_snapshot","2025","Q3","2025-09-02","https://www.merck.com/news/merck-to-participate-in-the-morgan-stanley-23rd-annual-global-healthcare-conference/","https://www.merck.com/news/merck-to-participate-in-the-morgan-stanley-23rd-annual-global-healthcare-conference/","04_press_releases/corporate/2025-09-02_merck-to-participate-in-the-morgan-stanley-23rd-annual-global-healthcare-conference.html","html","www.merck.com","2026-06-12","Categories: Corporate News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-to-Participate-in-the-Morgan-Stanley-23rd-Annual-Global-Healthcare-Conference-2025.pdf | API item ID: 3673102","snapshot_saved","Corporate News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-to-Participate-in-the-Morgan-Stanley-23rd-Annual-Global-Healthcare-Conference-2025.pdf","3673102"
"pr-0052","04_press_releases","04_press_releases/research_and_development","Merck’s Investigational Oral PCSK9 Inhibitor Enlicitide Decanoate Met All Primary and Key Secondary Endpoints in Adults with Hypercholesterolemia in Pivotal CORALreef Lipids Study","press_release_snapshot","2025","Q3","2025-09-02","https://www.merck.com/news/mercks-investigational-oral-pcsk9-inhibitor-enlicitide-decanoate-met-all-primary-and-key-secondary-endpoints-in-adults-with-hypercholesterolemia-in-pivotal-coralreef-lipids-study/","https://www.merck.com/news/mercks-investigational-oral-pcsk9-inhibitor-enlicitide-decanoate-met-all-primary-and-key-secondary-endpoints-in-adults-with-hypercholesterolemia-in-pivotal-coralreef-lipids-study/","04_press_releases/research_and_development/2025-09-02_merck-s-investigational-oral-pcsk9-inhibitor-enlicitide-decanoate-met-all-primary-and-key-secondary-endpoints.html","html","www.merck.com","2026-06-12","Categories: Research and Development News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Mercks-Investigational-Oral-PCSK9-Inhibitor-Enlicitide-Decanoate-Met-All-Primary-and-Key-Secondary-Endpoints-in-Adults-with-Hyperchol-9R2I5.pdf | API item ID: 3673104","snapshot_saved","Research and Development News","https://s2.q4cdn.com/584635680/files/doc_news/Mercks-Investigational-Oral-PCSK9-Inhibitor-Enlicitide-Decanoate-Met-All-Primary-and-Key-Secondary-Endpoints-in-Adults-with-Hyperchol-9R2I5.pdf","3673104"
"pr-0054","04_press_releases","04_press_releases/research_and_development","Merck Provides New Results for VERQUVO® (vericiguat) in Patients with Chronic Heart Failure and Reduced Ejection Fraction","press_release_snapshot","2025","Q3","2025-08-30","https://www.merck.com/news/merck-provides-new-results-for-verquvo-vericiguat-in-patients-with-chronic-heart-failure-and-reduced-ejection-fraction/","https://www.merck.com/news/merck-provides-new-results-for-verquvo-vericiguat-in-patients-with-chronic-heart-failure-and-reduced-ejection-fraction/","04_press_releases/research_and_development/2025-08-30_merck-provides-new-results-for-verquvo-vericiguat-in-patients-with-chronic-heart-failure-and-reduced-ejection.html","html","www.merck.com","2026-06-12","Categories: Research and Development News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-Provides-New-Results-for-VERQUVO-vericiguat-in-Patients-with-Chronic-Heart-Failure-and-Reduced-Ejection-Fraction-2025.pdf | API item ID: 3673096","snapshot_saved","Research and Development News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Provides-New-Results-for-VERQUVO-vericiguat-in-Patients-with-Chronic-Heart-Failure-and-Reduced-Ejection-Fraction-2025.pdf","3673096"
"pr-0055","04_press_releases","04_press_releases/financial","Merck to Participate in the 2025 Wells Fargo Healthcare Conference","press_release_snapshot","2025","Q3","2025-08-28","https://www.merck.com/news/merck-to-participate-in-the-2025-wells-fargo-healthcare-conference/","https://www.merck.com/news/merck-to-participate-in-the-2025-wells-fargo-healthcare-conference/","04_press_releases/financial/2025-08-28_merck-to-participate-in-the-2025-wells-fargo-healthcare-conference.html","html","www.merck.com","2026-06-12","Categories: Financial News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-to-Participate-in-the-2025-Wells-Fargo-Healthcare-Conference-2025.pdf | API item ID: 3672546","snapshot_saved","Financial News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-to-Participate-in-the-2025-Wells-Fargo-Healthcare-Conference-2025.pdf","3672546"
"pr-0056","04_press_releases","04_press_releases/research_and_development","HERTHENA-Breast04 Phase 3 Trial of Patritumab Deruxtecan Initiated in Patients with Metastatic Hormone Receptor Positive, HER2 Negative Breast Cancer Previously Treated with Endocrine Therapy","press_release_snapshot","2025","Q3","2025-08-27","https://www.merck.com/news/herthena-breast04-phase-3-trial-of-patritumab-deruxtecan-initiated-in-patients-with-metastatic-hormone-receptor-positive-her2-negative-breast-cancer-previously-treated-with-endocrine-therapy/","https://www.merck.com/news/herthena-breast04-phase-3-trial-of-patritumab-deruxtecan-initiated-in-patients-with-metastatic-hormone-receptor-positive-her2-negative-breast-cancer-previously-treated-with-endocrine-therapy/","04_press_releases/research_and_development/2025-08-27_herthena-breast04-phase-3-trial-of-patritumab-deruxtecan-initiated-in-patients-with-metastatic-hormone-recepto.html","html","www.merck.com","2026-06-12","Categories: Research and Development News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/HERTHENA-Breast04-Phase-3-Trial-of-Patritumab-Deruxtecan-Initiated-in-Patients-with-Metastatic-Hormone-Receptor-Positive-HER2-Negativ-5XK4E.pdf | API item ID: 3672465","snapshot_saved","Research and Development News","https://s2.q4cdn.com/584635680/files/doc_news/HERTHENA-Breast04-Phase-3-Trial-of-Patritumab-Deruxtecan-Initiated-in-Patients-with-Metastatic-Hormone-Receptor-Positive-HER2-Negativ-5XK4E.pdf","3672465"
"pr-0057","04_press_releases","04_press_releases/research_and_development","Merck Demonstrates Ongoing Commitment to Advancing Cardiovascular Disease Management and Patient Care with New Data at the European Society of Cardiology Congress 2025","press_release_snapshot","2025","Q3","2025-08-25","https://www.merck.com/news/merck-demonstrates-ongoing-commitment-to-advancing-cardiovascular-disease-management-and-patient-care-with-new-data-at-the-european-society-of-cardiology-congress-2025/","https://www.merck.com/news/merck-demonstrates-ongoing-commitment-to-advancing-cardiovascular-disease-management-and-patient-care-with-new-data-at-the-european-society-of-cardiology-congress-2025/","04_press_releases/research_and_development/2025-08-25_merck-demonstrates-ongoing-commitment-to-advancing-cardiovascular-disease-management-and-patient-care-with-new.html","html","www.merck.com","2026-06-12","Categories: Research and Development News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-Demonstrates-Ongoing-Commitment-to-Advancing-Cardiovascular-Disease-Management-and-Patient-Care-with-New-Data-at-the-European-S-2GHIP.pdf | API item ID: 3672463","snapshot_saved","Research and Development News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Demonstrates-Ongoing-Commitment-to-Advancing-Cardiovascular-Disease-Management-and-Patient-Care-with-New-Data-at-the-European-S-2GHIP.pdf","3672463"
"pr-0058","04_press_releases","04_press_releases/prescription_medicine","Ifinatamab Deruxtecan Granted Breakthrough Therapy Designation by U.S. FDA for Patients with Pretreated Extensive-Stage Small Cell Lung Cancer","press_release_snapshot","2025","Q3","2025-08-18","https://www.merck.com/news/ifinatamab-deruxtecan-granted-breakthrough-therapy-designation-by-u-s-fda-for-patients-with-pretreated-extensive-stage-small-cell-lung-cancer/","https://www.merck.com/news/ifinatamab-deruxtecan-granted-breakthrough-therapy-designation-by-u-s-fda-for-patients-with-pretreated-extensive-stage-small-cell-lung-cancer/","04_press_releases/prescription_medicine/2025-08-18_ifinatamab-deruxtecan-granted-breakthrough-therapy-designation-by-u-s-fda-for-patients-with-pretreated-extensi.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | API item ID: 3673285","snapshot_saved","Prescription Medicine News","","3673285"
